epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,8224.24,0.89592,0.52997,1.10375,0.97193,0.96677,0.98872,0.80272,0.78657,0.34768,1.08296,0.0092146,0.0092146,0.0092146
121,8291.82,0.88907,0.52719,1.10402,0.97247,0.96683,0.98867,0.80248,0.78666,0.34735,1.08279,0.009208,0.009208,0.009208
122,8359.38,0.89255,0.52424,1.10549,0.9716,0.96726,0.98861,0.80222,0.78619,0.34644,1.0826,0.0092014,0.0092014,0.0092014
123,8427.1,0.88861,0.52386,1.10089,0.97115,0.96783,0.9886,0.80288,0.78606,0.34645,1.08241,0.0091948,0.0091948,0.0091948
124,8494.76,0.88854,0.51857,1.09974,0.97212,0.96707,0.98883,0.80313,0.7853,0.34539,1.08199,0.0091882,0.0091882,0.0091882
125,8562.43,0.88504,0.52162,1.10507,0.97157,0.96747,0.98868,0.80389,0.78502,0.34548,1.08173,0.0091816,0.0091816,0.0091816
126,8630.05,0.8924,0.52971,1.10253,0.97211,0.9675,0.98875,0.80367,0.78425,0.34603,1.08131,0.009175,0.009175,0.009175
127,8697.68,0.88562,0.51485,1.10166,0.97116,0.96812,0.98866,0.80351,0.78399,0.34562,1.0813,0.0091684,0.0091684,0.0091684
128,8765.38,0.88656,0.52158,1.10432,0.97315,0.9664,0.98862,0.80402,0.7834,0.346,1.08059,0.0091618,0.0091618,0.0091618
129,8833.1,0.88674,0.51777,1.09908,0.97319,0.96705,0.98868,0.80465,0.78308,0.34541,1.08025,0.0091552,0.0091552,0.0091552
130,8900.83,0.88072,0.52048,1.09803,0.97202,0.96788,0.98865,0.80407,0.7832,0.34522,1.08018,0.0091486,0.0091486,0.0091486
131,8968.41,0.88026,0.51676,1.09978,0.97292,0.96657,0.98867,0.80423,0.78341,0.34467,1.08023,0.009142,0.009142,0.009142
132,9036.06,0.885,0.51519,1.10004,0.97191,0.96746,0.98904,0.80481,0.78299,0.34441,1.08008,0.0091354,0.0091354,0.0091354
133,9103.72,0.88623,0.51725,1.09572,0.972,0.96726,0.98912,0.80477,0.78279,0.34415,1.07995,0.0091288,0.0091288,0.0091288
134,9171.23,0.88778,0.5177,1.10136,0.97083,0.96797,0.98908,0.80479,0.78252,0.34406,1.07963,0.0091222,0.0091222,0.0091222
135,9238.88,0.88475,0.51947,1.09923,0.97171,0.96773,0.98926,0.80507,0.78203,0.34356,1.07925,0.0091156,0.0091156,0.0091156
136,9306.52,0.88227,0.51509,1.0957,0.97056,0.96888,0.98929,0.80532,0.78168,0.34344,1.07908,0.009109,0.009109,0.009109
137,9376.58,0.88119,0.51824,1.10249,0.97148,0.96867,0.98931,0.80545,0.78153,0.34286,1.07895,0.0091024,0.0091024,0.0091024
138,9446.95,0.87775,0.50958,1.09864,0.97152,0.96928,0.98931,0.80515,0.78137,0.34272,1.07874,0.0090958,0.0090958,0.0090958
139,9517.34,0.87553,0.50612,1.09228,0.97067,0.96943,0.98931,0.80562,0.78141,0.34253,1.0788,0.0090892,0.0090892,0.0090892
140,9587.69,0.88447,0.51831,1.10045,0.97108,0.96924,0.9893,0.80609,0.7813,0.34247,1.07871,0.0090826,0.0090826,0.0090826
141,9658,0.88064,0.51222,1.10238,0.97076,0.96974,0.9893,0.80596,0.78111,0.34239,1.07857,0.009076,0.009076,0.009076
142,9728.53,0.88084,0.50832,1.09666,0.97111,0.9697,0.98928,0.80607,0.78086,0.34216,1.07827,0.0090694,0.0090694,0.0090694
143,9798.79,0.88282,0.51266,1.09488,0.97071,0.9701,0.98928,0.80584,0.78073,0.34225,1.07819,0.0090628,0.0090628,0.0090628
144,9869.04,0.87455,0.50992,1.09228,0.97089,0.97078,0.98926,0.80599,0.78054,0.34194,1.07808,0.0090562,0.0090562,0.0090562
145,9939.47,0.88312,0.51451,1.09781,0.97107,0.97031,0.98921,0.80632,0.78044,0.34158,1.0781,0.0090496,0.0090496,0.0090496
146,10009.9,0.87404,0.50665,1.09607,0.97146,0.97062,0.98936,0.80641,0.78007,0.34128,1.07791,0.009043,0.009043,0.009043
147,10080.2,0.87643,0.50679,1.09207,0.97147,0.97064,0.98939,0.80689,0.77967,0.34151,1.07773,0.0090364,0.0090364,0.0090364
148,10150.6,0.87443,0.50767,1.09368,0.97194,0.97071,0.98936,0.80659,0.7796,0.34126,1.07754,0.0090298,0.0090298,0.0090298
149,10220.9,0.8789,0.51358,1.09613,0.97203,0.9703,0.98945,0.80693,0.7794,0.34088,1.07752,0.0090232,0.0090232,0.0090232
150,10291.3,0.87807,0.5054,1.09438,0.97257,0.97098,0.98956,0.8073,0.77876,0.34029,1.07716,0.0090166,0.0090166,0.0090166
151,10361.8,0.87186,0.50284,1.09028,0.97229,0.97113,0.98954,0.8075,0.77874,0.34021,1.07718,0.00901,0.00901,0.00901
152,10432,0.86664,0.50621,1.0916,0.9724,0.97123,0.98957,0.80784,0.77879,0.33986,1.07694,0.0090034,0.0090034,0.0090034
153,10502.3,0.87254,0.50184,1.08922,0.97274,0.97146,0.98956,0.80801,0.77873,0.33969,1.07688,0.0089968,0.0089968,0.0089968
154,10572.7,0.87288,0.50711,1.09433,0.97227,0.97148,0.98959,0.80808,0.77867,0.33925,1.07672,0.0089902,0.0089902,0.0089902
155,10643,0.87703,0.50788,1.09559,0.97206,0.97169,0.98958,0.80801,0.77871,0.33901,1.07662,0.0089836,0.0089836,0.0089836
156,10713.3,0.87152,0.50644,1.09216,0.97177,0.97216,0.98956,0.80836,0.77835,0.33878,1.07642,0.008977,0.008977,0.008977
